BuId,Rim,TotalCards
955121,1053840,1
855100,1053901,2
855252,1053932,1
855178,105398,1
855032,1054159,1
953473,1054180,1
855182,1054193,1
855257,105425,1
855258,1054308,1
855185,1054311,1
855108,1054318,1
855262,1054482,1
855041,105458,1
855192,1054650,1
949259,1054743,1
855117,1054771,2
855195,1054778,1
855574,1054982,1
855575,1055005,1
855277,1055033,1
855351,1055245,1
855426,1055359,1
855355,1055552,1
855584,1055554,2
947091,1055689,1
855586,1055744,2
855587,1055796,1
855289,1055891,1
855293,1056141,1
855365,1056212,1
855366,105624,1
855370,1056491,1
855446,105662,1
855447,1056643,1
855448,1056709,1
855603,105674,1
855376,105684,1
855451,1056875,1
855606,1056887,1
855379,1056947,2
855380,1057017,1
855309,1057072,1
855610,1057089,1
855388,1057675,1
855319,1057794,3
855620,1057834,2
855621,1057915,1
855468,1058000,1
855324,1058127,2
855470,1058134,1
855325,1058197,1
855326,1058216,1
950921,1058228,1
855628,1058271,1
855329,1058370,1
855403,1058517,1
855479,1058559,1
855481,1058762,2
855337,1058836,2
855484,1058862,1
855485,1058931,1
855409,1058940,1
855641,1059013,1
855488,1059141,1
855416,1059309,1
855500,1059358,1
855801,1059591,2
959189,1059625,1
855803,1059693,1
855654,1059701,1
855804,1059737,1
855508,1059761,3
855805,1059799,1
855728,1059835,1
855807,1059901,1
855730,1059951,1
950315,1060011,1
855810,1060145,1
855662,1060196,1
855812,1060223,1
855736,1060261,1
855737,1060339,1
855668,1060616,1
855669,1060656,1
855741,1060697,1
947734,1060867,1
855821,1060922,1
945421,1061035,1
855825,1061218,1
855529,1061245,1
855826,1061252,1
855679,1061374,2
855534,1061578,2
956920,1061638,1
855833,1061711,1
855537,1061728,1
855755,1061745,1
855756,1061775,2
855541,1061942,1
855689,1061952,1
958983,1061954,1
855690,1061973,1
855841,1062054,1
855545,1062064,1
855694,1062254,1
855695,1062336,1
855548,1062341,2
946827,1062438,1
855697,1062479,2
945580,1062527,1
855848,1062598,1
953453,1062637,1
855856,1063027,1
855857,1063097,2
855564,1063342,1
855864,1063444,1
949713,1063548,1
855790,1063735,1
855872,1063883,1
855958,1064255,1
856028,1064423,1
855961,1064470,1
856110,1064697,1
856111,1064818,1
855969,1064990,2
856118,1065106,1
949323,1065211,1
856123,1065493,1
856045,1065562,1
947773,1065778,2
855901,106585,1
856127,1065871,1
855904,1066047,3
856051,1066073,1
959344,1066269,1
855910,1066570,1
855911,1066610,1
855991,1066746,1
856060,1066861,1
856063,106714,1
954420,1067163,1
855998,1067478,1
856144,1067530,1
856067,1067605,1
855922,1067630,1
856147,1067644,1
856149,1067694,2
856006,1067847,1
856074,1067969,1
856009,1068052,1
856155,1068072,1
856010,1068079,1
856079,1068218,1
856013,106824,1
856080,1068285,1
855935,1068299,1
856014,1068301,1
856159,1068330,1
856087,1068987,1
855943,1069138,1
856022,1069146,1
856026,1069414,2
856095,1069633,1
856401,1069889,1
856332,1069904,1
856100,1069914,1
856406,1070190,4
856407,1070226,1
856408,1070300,1
856409,1070411,1
856257,1070454,1
850648,1070530,1
856189,1070538,1
856259,1070617,1
856342,1070659,3
856260,1070668,1
856261,1070761,1
856413,1070763,1
856415,1070914,1
952824,1071093,1
856348,1071166,1
856198,1071290,1
856268,1071382,1
856351,1071403,2
856274,1071680,1
856426,1071682,2
856207,1071782,2
856208,1071844,1
856210,1071937,1
856280,1071961,2
856361,1071979,1
856433,1071994,1
856213,1072026,1
856435,1072065,1
856436,1072198,1
856437,1072249,1
856371,1072493,1
856372,1072606,1
856444,1072633,1
955285,1072733,1
856375,1072757,1
856376,1072897,1
954477,1073001,1
856230,1073108,1
856453,1073158,1
856454,1073174,1
856383,1073249,1
856303,1073310,1
950763,1073733,1
856461,1073833,1
856390,1073862,1
856310,1073879,1
856241,1073904,1
856244,1074026,1
856395,107407,2
856246,1074162,1
856397,1074185,1
856469,1074205,1
856470,1074222,1
856319,1074261,1
856320,1074290,2
856475,1074403,1
856700,1074506,1
856705,1074733,1
856482,1074743,1
856483,1074780,1
856561,1074803,1
856563,1074846,1
856489,1075035,1
946461,1075073,1
856568,1075155,1
